,param_name,mean,std,2.5q,25q,50q,75q,97.5q,mc err,sub,model_ID
1972,t,0.6158537856326622,0.0839774527411882,0.4220210505487312,0.5664854907100113,0.6243437808626604,0.6750360905593129,0.7578720728532194,0.0047779637165351,57,2
1973,theta,0.527298523163822,0.0520991820823522,0.4283130380999884,0.4920753803396041,0.5256416352157178,0.5609449826205062,0.638516566988219,0.003060121732604,57,2
1974,v_gain,0.0454939832759582,0.00554840830654,0.0349682933761033,0.0416891482197391,0.0452890431401672,0.0493362306297134,0.0562704821563156,0.0001870543811834,57,2
1975,v_loss,-0.0863679476912494,0.010696258716096,-0.1073879040471192,-0.0936879140932596,-0.0860080600306755,-0.079036130120838,-0.0661355164707761,0.0003635653002582,57,2
1976,BIC,742.5539548961623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,2
1977,a,1.3543498873068776,0.1245840203393581,1.1316152902512644,1.2668679646830745,1.347235724183136,1.4301646272873527,1.6257995372858467,0.0065557488521945,25,2
1978,z,0.6548461325932733,0.0283164842683077,0.596231364709938,0.6368995894370364,0.6560520000437218,0.6738995067683694,0.7074970428169637,0.0013718461219687,25,2
1979,t,0.6304925722469598,0.0213081693556504,0.5816369444724091,0.6182560779938101,0.6328015674470884,0.6454475308187334,0.6659149419768392,0.0009457962588346,25,2
1980,theta,0.5585576814951609,0.0945071304920127,0.3737876230708649,0.494996515505671,0.5571149012678225,0.6226326841240839,0.7432811669975102,0.0046293564912295,25,2
1981,v_gain,0.0856277799829155,0.0020948666054244,0.0811987605699342,0.084373123597211,0.0857391501216813,0.0869818871123988,0.0895713849655008,0.0001029725526706,25,2
1982,v_loss,-0.0946214830902469,0.0131962931756346,-0.1213805137928868,-0.102627247609538,-0.0943969658311947,-0.0860721442281879,-0.0696125039152149,0.0007173474248963,25,2
1983,BIC,125.38237753308832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2
1984,a,1.1146489679062634,0.0449582640439213,1.0294149253415474,1.0847186491289271,1.1143493825291415,1.144825558248143,1.2047403039643427,0.0009771330777127,29,4
1985,z,0.5902978379922598,0.0263383583606288,0.5371287558812202,0.5725228701975636,0.5911742077500141,0.608220960648444,0.6408273852454258,0.0010108483499408,29,4
1986,t,0.6521148680150626,0.0179720058501991,0.6134470724177667,0.6409105758252374,0.6532478307704703,0.6646572320844955,0.6841439909655417,0.0004700759105076,29,4
